Year,Vendor,Name,Category,Sub-category,Cultivar,Cost,Amount
2017,Daxue Jiadao,Wild Laocong Shuixian,Oolong,Wuyi,Shui Xian,0.96,16
2024,One River Tea,Longjing #108 | Mingqian Dragonwell Private Order,White,Hangzhou,Longjing #108,2,9
2023,Daxue Jiadao,Yongchun Shuixian Kaishan,Oolong,Yongchun,Shui Xian,1.51,50
2022,Daxue Jiadao,Yongchun Laocong Shuixian Bainian,Oolong,Yongchun,Shui Xian,1.26,8
2024,One River Tea,Silver Needle,White,Fuding,Baihao,1.20,25
2011,Teas We Like,Biyun Hao Zhengjialiangzi,Puer,Aged Sheng,"Mahei, Yiwu",1.19,20
2023,Daxue Jiadao,Yongchun Shuixian Annual,Oolong,Yongchun,Shui Xian,0.77,50
2023,Daxue Jiadao,Yongchun Fo Shou Kaishan,Oolong,Yongchun,Fo Shou,1.47,50
2023,Daxue Jiadao,Yongchun Fo Shou Annual,Oolong,Yongchun,Fo Shou,0.77,50
2003,Wistaria,Qingteng,Puer,Aged Sheng,Blend,1.12,8
,Zoeys Teas,Wudong Old Tree Aofuhou,Oolong,Fenghuang,Ao Fu Hou,1.32,50
,Zoeys Teas,Real Zheng Yan Hui Yuan Keng Pure Da Hong Pao,Oolong,Wuyi,Blend,1,8
2011,Unknown,Dayi Golden TAE,Puer,Aged Sheng,Blend,2.50,30
2019,Essence of Tea,Zhang Hui Chun Strong Roast Shui Xian,Oolong,Wuyi,Shui Xian,0.5,9
2022,Old Ways Tea,Laocong Shuixian,Oolong,Wuyi,Shui Xian,0.67,64
2021,Old Ways Tea,Chunzhong Da Hong Pao,Oolong,Wuyi,Qi Dan,0.67,8
,Zoeys Teas,Mo Li Xiang,Oolong,Fenghuang,Mo Li Xiang,1,8
,Zoeys Teas,Ping Keng Tou Yashi Xiang,Oolong,Fenghuang,Yashi Xiang,0.70,60
2024,One River Tea,King Peony,White,Fuding,Baihao,0.40,50
2023,Old Ways Tea,Niu Rou Huangpian,Oolong,Wuyi,Rou Gui,0.25,50
2023,Song Tea,Nantou Dark Sequel,Oolong,Hongshui,Qing Xin,0.53,10
